STRING ID,DESCRIPTION,ENGLISH,LITHUANIAN/LIETUVIŠKAI,COMMENTARIES
LANGUAGE_NAME,Leave empty if it's a standard translation,,,
LANGUAGE_MAINTAINER,Name of the language file maintainer,Aragas,SViper,
BEGIN,,,,
;Main Form;,,,,
mf_title,Window Title,Pokémon 3D Launcher,Pokemonai 3D Paleidėjas,
mf_button_play,News Tab,Play,Žaisti,
mf_button_checkforupdates,News Tab,Check for Updates,"Tikrinti, ar yra atnaujinimų",
mf_button_newprofile,News Tab,New Profile,Naujas Profilis,
mf_button_editprofile,News Tab,Edit Profile,Redaguoti Profilį,
mf_button_delete,News Tab,Delete Profile,Ištrinti Profilį,
mf_groupbox_common,Settings Tab,Common,Bendras,
mf_checkbox_checkforupdatesonstartup,Settings Tab,Check for game updates on startup,"Tikrinti, ar yra žaidimo atnaujimų paleidimo metu",
mf_label_language,Settings Tab,Language:,Kalba:,
mf_groupbox_gamejolt,Settings Tab,GameJolt,GameJolt,
mf_label_username,Settings Tab,Username:,Vartotojo vardas:,
mf_label_token,Settings Tab,Token:,Token'as:,
mf_label_token_hint,Settings Tab,"This is your GameJolt Token, not your GameJolt Password! For more info, check the FAQ tab","Tai yra jūsų GameJolt Token'as, o ne jūsų GameJolt Slaptažodis! Daugiau informacijos rasite DUK skiltyje.",NEW TOKEN
mf_checkbox_savecredentials,Settings Tab,Remember me,Prisiminti mane,
mf_checkbox_autologin,Settings Tab,Keep me logged in,Palikti mane prijungtą,
mf_groupbox_network,Settings Tab,Network,Tinklai,
mf_label_selecteddl,"Settings Tab
DL - Download Link",Selected DL:,Pasirinkti parsiuntimo nuorodą:,
mf_button_save,Settings Tab,Save,Išsaugoti,
mf_textbox_credits,About Tab,"Launcher by {0}
Translation:
{1}","Paleidėjo kūrėjas {0}
Vertėjai:
{1}",
mf_tabpage_news,Tab Name,News,Naujienos,
mf_tabpage_logger,Tab Name,Logger,Loger'is,
mf_tabpage_faq,Tab Name,FAQ,DUK,
mf_tabpage_settings,Tab Name,Settings,Nustatymai,
mf_tabpage_about,Tab Name,About,Apie,
;GameJolt Form;,,,,
gj_title,Window Title,You are not logged into GameJolt! ,Jūs nesate prisijungęs prie GameJolt!,
gj_wtextbox_username,,Username,Vartotojo vardas,
gj_wtextbox_token,,Token,Token'as,
gj_checkbox_autologin,,Keep me logged in,Palikti mane prijungtą,
gj_checkbox_savecredentials,,Remember me,Prisiminti mane,
gj_label_questionchar,,?,?,
gj_button_login,,Log In,Prisijungti,
gj_button_playoffline,,Play Offline,Žaisti neprisijungus,
gj_button_signin,,Sign Up,Prisiregistruoti,
;Profile Form;,,,,
pf_title,Window Title,Profile Editor,Profilio Redaktorius,
pf_groupbox_profileinfo,,Profile Info,Profilio Informacija,
pf_label_profiletype,,Profile Type:,Profilio Tipas:,
