STRING ID,DESCRIPTION,ENGLISH,PORTUGUESE / PORTUGUÊS,COMMENTARIES
LANGUAGE_NAME,Leave empty if it's a standard translation,,,
LANGUAGE_MAINTAINER,Name of the language file maintainer,Aragas,OmegaGhost,
BEGIN,,,,
;Main Form;,,,,
mf_title,Window Title,Pokémon 3D Launcher,Launcher Pokémon 3D,
mf_button_play,News Tab,Play,Jogar,
mf_button_checkforupdates,News Tab,Check for Updates,Buscar Atualizações,
mf_button_newprofile,News Tab,New Profile,Novo Perfil,
mf_button_editprofile,News Tab,Edit Profile,Editar Perfil,
mf_button_delete,News Tab,Delete Profile,Apagar Perfil,
mf_groupbox_common,Settings Tab,Common,Geral,
mf_checkbox_checkforupdatesonstartup,Settings Tab,Check for game updates on startup,Buscar Atualizações ao iniciar,
mf_label_language,Settings Tab,Language:,Linguagem:,
mf_groupbox_gamejolt,Settings Tab,GameJolt,GameJolt,
mf_label_username,Settings Tab,Username:,Usuário:,
mf_label_token,Settings Tab,Token:,Token:,
mf_label_token_hint,Settings Tab,"This is your GameJolt Token, not your GameJolt Password! For more info, check the FAQ tab","Esse é o seu Token GameJolt, não sua Senha GameJolt! Para mais informações, cheque a aba de Perguntas Frequentes.",
mf_checkbox_savecredentials,Settings Tab,Remember me,Lembrar credenciais,
mf_checkbox_autologin,Settings Tab,Keep me logged in,Manter-me logado,
mf_groupbox_network,Settings Tab,Network,Rede,
mf_label_selecteddl,"Settings Tab
DL - Download Link",Selected DL:,Link de download:,
mf_button_save,Settings Tab,Save,Salvar,
mf_textbox_credits,About Tab,"Launcher by {0}
Translation:
{1}","Launcher feito por {0}
Traduções:
{1}",
mf_tabpage_news,Tab Name,News,Notícias,
mf_tabpage_logger,Tab Name,Logger,Registro de Sistema,
mf_tabpage_faq,Tab Name,FAQ,Perguntas Frequentes,
mf_tabpage_settings,Tab Name,Settings,Configurações,
mf_tabpage_about,Tab Name,About,Sobre,
;GameJolt Form;,,,,
gj_title,Window Title,You are not logged into GameJolt! ,Você não está logado no GameJolt!,
gj_wtextbox_username,,Username,Usuário,
gj_wtextbox_token,,Token,Token,
gj_checkbox_autologin,,Keep me logged in,Manter-me logado,
gj_checkbox_savecredentials,,Remember me,Lembrar credenciais,
gj_label_questionchar,,?,?,
gj_button_login,,Log In,Fazer Login,
gj_button_playoffline,,Play Offline,Jogar Offline,
gj_button_signin,,Sign Up,Registrar,
;Profile Form;,,,,
pf_title,Window Title,Profile Editor,Editor de Perfis,
pf_groupbox_profileinfo,,Profile Info,Informação do Perfil,
pf_label_profiletype,,Profile Type:,Tipo de Perfil:,
pf_label_profilename,,Profile Name:,Nome do Perfil,
pf_label_version,,Version:,Versão:,
pf_label_launchargs,Args = arguements. Please try to make it compact,Launch Args:,Opções de inicialização:,
pf_label_noedit,,"You can't edit the 'Latest' Profile!
Create a new profile!","Você não pode editar o Perfil 'Latest'!
Crie um novo perfil!",
pf_button_openprofiledir,,Open Directory,Abrir Pasta,
pf_groupbox_modifications,,Modifications,Mods:,
pf_button_cancel,,Cancel,Cancelar,
pf_button_save,,Save,Salvar,
;ReleaseDownloader Form;,,,,
rd_title,Window Title,Downloader,Baixar,
rd_label_downloadprogress,,Download Progress:,Baixando:,
rd_label_extractionprogress,,Extraction Progress:,Extraindo:,
;PerFileUpdater Form;,,,,
pfu_title,,Updater,Atualização,
pfu_label_updateinfoprogress,,Update Info Download Progress:,Recebendo informação:,
pfu_label_comparisonprogress,,Comparison Progress:,Comparando dados:,
pfu_label_downloadprogress,,Download Progress:,Baixando atualização:,
;MessageBox;,,,,
DLNotSelected,,Can't update! Select a DL first in Settings tab!,Falha na Atualização! Selecione um link de download na aba Configurações!,
DLNotSelectedTitle,,Error!,Erro!,
SomethingNotFoundError,,"Pokémon 3D requires {0}
Please visit {1} to download.
Would you like to open the webpage now?","Pokémon 3D requer {0}.
Por favor, visite {1} para baixar.
Gostaria de abrir o link agora?",
SomethingNotFoundErrorTitle,,Error!,Erro!,
DownloadError,,Failed to download a file. Please try again!,"Algum arquivo não pôde ser baixado! Por favor, tente novamente!",
DownloadErrorTitle,,Error!,Erro!,
FileReplacementError,,There was an error while replacing the old files with the new ones!,Um erro ocorreu ao substituir os arquivos antigos pelos novos!,
FileReplacementErrorTitle,,Error!,Erro!,
LauncherUpdateAvailable,,"A new Launcher version is available!
Would you like to update?","Uma nova versão do Launcher está disponível!
Gostaria de atualizar agora?",
LauncherUpdateAvailableTitle,,Update is Available!,Atualização disponível!,
NoInternet,,Could not connect to GitHub! Is Internet connection available?,Falha ao conectar ao GitHub! Cheque sua conexão de Internet.,
NoInternetTitle,,Update Check Error!,Erro na verificação da Atualização!,
NotDownloaded,,"Profile '{0}' was not downloaded!
Would you like to download it?","Perfil '{0}' não foi baixado!
Gostaria de baixá-lo?",
NotDownloadedTitle,,Not Downloaded!,Não foi baixado!,
NoUpdateNeeded,,The Profile doesn't need an update!,O Perfil não precisa de Atualizações!,
NoUpdateNeededTitle,,Done!,Pronto!,
ProfileUpToDate,,Profile '{0}' is up to date!,O Perfil '{0}' está atualizado!,
ProfileUpToDateTitle,,Update Check,Buscar Atualizações,
ToolTipSaveCredentials,,"Enable ""Remember Me"" first!","Habilite ""Lembrar credenciais"" primeiro!",
UpdateAvailable,,Would you like to download the [{0}] version to [{1}]?,Gostaria de atualizar a versão [{0}] para [{1}]?,
UpdateAvailableTitle,,Update is Available!,Atualização disponível!,
Updated,,The Profile was successfully updated!,O Perfil foi atualizado com sucesso!,
UpdateDisabled,,"Update is disabled! Please download the new version, don't use updating.","A opção de atualização está desativada! Por favor, baixe a nova versão de forma independente.",
UpdateDisabledTitle,,Error!,Erro!,
UpdatedTitle,,Success!,Sucesso!,
END,,,,
